ID	6533	6715	3779	6651	6536	6782	6460	6298	6628	6600	6172	5344	4952	5797	5912	6607	3713	5666	6197	6676	4947	6163	6652
hsa-let-7a-1	3499.076638	9145.940052	7813.381594	4301.626563	5445.160433	7595.863299	6494.308329	2575.567058	11089.370385	8620.013872	7886.352362	5227.543713	8047.913275	5919.925424	10307.938509	5681.125200	8328.795870	11534.409444	5029.277841	6250.366717	8214.406752	7749.496241	4388.303149
hsa-let-7a-2	7011.205037	18558.805982	15548.157331	8554.938310	10859.500338	15317.899906	13003.203394	5050.481703	22076.347814	17279.066384	15548.131837	10310.538880	16275.394594	11779.430234	20566.412880	11327.640625	16662.556746	22976.978151	10052.052471	12420.282570	16302.775926	15605.917744	8811.060554
hsa-let-7a-3	3554.496422	9269.888292	7802.239011	4346.189515	5545.740595	7643.052404	6575.865613	2590.066048	11081.015404	8747.007038	7858.837125	5179.192098	8053.564018	5884.104631	10298.562954	5689.431546	8330.450872	11422.101342	5002.882453	6257.776665	8268.804078	7809.680480	4446.752333
hsa-let-7b	4543.819881	11322.491720	11371.106959	7897.443342	6415.931898	9837.201905	5446.999050	3944.986207	11966.287831	11932.967677	11747.792105	5680.681884	12522.045745	12077.217544	20230.186056	16587.495655	14495.745818	6912.983525	5281.755469	10909.711750	11572.466578	13138.570796	5293.342607
hsa-let-7c	246.979471	211.380609	1395.659133	1463.150267	1386.923767	1633.635013	604.477999	275.270690	1098.591084	533.528077	669.267666	413.393650	169.522280	880.846234	921.067520	556.802046	201.496453	296.251979	42.844688	1539.756942	572.095650	1053.534397	481.129066
hsa-let-7d	709.814984	801.291942	311.587131	200.227011	489.369849	625.255638	654.017857	850.817575	501.476610	530.549225	545.449101	270.870304	846.355679	373.528866	916.541390	398.843037	635.934389	171.610978	649.938621	577.673494	430.252057	478.578444	807.829237
hsa-let-7e	489.541423	1584.583102	545.378776	849.911977	1129.534771	1111.389738	801.628283	468.380433	1041.350577	886.913997	532.905390	659.455272	328.370935	620.821807	931.736256	1161.088702	419.956672	503.549645	369.152895	896.906150	860.093568	730.690425	871.508084
hsa-let-7f-1	12.248575	20.058014	19.246279	6.661472	15.485436	19.134606	17.797652	13.868600	30.397909	21.792654	16.994705	18.479937	17.580088	17.694608	39.118698	16.058935	15.722516	18.105745	13.771507	14.063779	18.269291	18.613682	11.382209
hsa-let-7f-2	10173.747046	27016.087556	13992.045006	6910.243782	9000.496286	14562.011015	16426.132311	8115.232093	28369.781492	16643.316648	13383.734773	14989.000640	15955.813704	11284.844352	22254.012899	8265.921569	13404.272221	16678.802764	14673.540689	11141.688488	14827.889940	14497.990033	7577.782789
