




Analysis Type:	PANTHER Overrepresentation Test (Released 20181113)
Annotation Version and Release Date:	GO Ontology database  Released 2019-01-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	8749
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (565)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (P-value)
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	66	11	1.78	+	6.19	4.44E-02
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	98	16	2.64	+	6.07	4.22E-04
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	99	16	2.66	+	6.01	4.78E-04
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II (GO:0002504)	101	16	2.72	+	5.89	6.12E-04
response to interferon-gamma (GO:0034341)	182	24	4.90	+	4.90	9.52E-06
cellular response to interferon-gamma (GO:0071346)	160	20	4.31	+	4.65	5.21E-04
antigen processing and presentation of exogenous antigen (GO:0019884)	182	19	4.90	+	3.88	1.36E-02
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	175	18	4.71	+	3.82	3.10E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	257	23	6.92	+	3.33	1.32E-02
cellular metal ion homeostasis (GO:0006875)	548	42	14.75	+	2.85	4.66E-05
metal ion transport (GO:0030001)	637	48	17.14	+	2.80	6.04E-06
divalent inorganic cation homeostasis (GO:0072507)	480	36	12.92	+	2.79	9.79E-04
cellular divalent inorganic cation homeostasis (GO:0072503)	457	34	12.30	+	2.76	2.64E-03
metal ion homeostasis (GO:0055065)	620	46	16.68	+	2.76	2.20E-05
cellular cation homeostasis (GO:0030003)	622	46	16.74	+	2.75	2.41E-05
cellular ion homeostasis (GO:0006873)	635	46	17.09	+	2.69	4.40E-05
cation homeostasis (GO:0055080)	697	50	18.76	+	2.67	1.24E-05
inorganic cation transmembrane transport (GO:0098662)	567	40	15.26	+	2.62	8.86E-04
